"Bedřich Václavek - kritik a bojovník : B. Václavek, příklad literárního kritika a vědce - bojovníka /",,,1957,"['Václavek, Bedřich,']","['výročí', 'výročí']",['medailony']
Náš a světový Skupa /,,,1957,"['Skupa, Josef,']",['loutkáři'],['nekrology']
"""Sbohem minulosti..."" /",,,1957,"['Valenta, Edvard,']",['česká próza'],['recenze']
Kdo je Kristián? /,,,1955,"['Pekař, Josef,', 'Dobrovský, Josef,', 'Dobner, Gelasius,', 'Kristián,', 'Kosmas,', 'Řehoř z Valdeka,', 'Dalimil,']","['legendy', 'legendy', 'legendy']",['články']
Židlochovický zlomek staročeského Komestora /,,,1955,"['Novák, Jan Václav,']","['překlady do češtiny', 'překlady do češtiny', 'překlady do češtiny', 'překlady do češtiny']",['články']
"Václavská legenda XIII. století ""Ut annuncietur"", její poměr k legendě ""Oriente"" a otázka autorství : Josefu Vašicovi k 70. narozeninám. /",,,1955,"['Podlaha, Antonín,', 'Pekař, Josef,', 'Jan,', 'Kristián,']","['autorství literárních děl', 'autorství literárních děl', 'autorství literárních děl', 'autorství literárních děl', 'autorství literárních děl']",['články']
Příspěvky ke kritice a výkladu staročeských textů. Ke spisům Husovým : kritické a exegetické příspěvky k českým spisům M. Jana Husi. /,,,1955,"['Hus, Jan,', 'Erben, Karel Jaromír,', 'Flajšhans, Václav,', 'Šimek, František,', 'Novák, Karel,']","['staročeština', 'staročeština', 'staročeština', 'staročeština', 'staročeština', 'staročeština']",['články']
"Básník z Desk zemských, člen kruhu Rosova : univ. prof. dr. Josefu Vašicovi k sedmdesátinám /",,,1956,"['Vašica, Josef,', 'Rosa, Václav Jan,', 'Smrčka z Mníchu, Václav Sylvestr,']","['zemské desky', 'zemské desky', 'zemské desky', 'zemské desky', 'zemské desky']",['články']
Zdeněk Nejedlý - mistr dialektické methody /,,,1953,"['Nejedlý, Zdeněk,', 'Smetana, Bedřich,', 'Lenin, Vladimir Il‘jič,', 'Němcová, Božena,', 'Hus, Jan,', 'Palacký, František,', 'Masaryk, Tomáš Garrigue,', 'Stalin, Iosif Vissarionovič,', 'Goll, Jaroslav,']","['dialektika', 'dialektika', 'dialektika', 'dialektika', 'dialektika']",['studie']
K stylu národních báchorek a pověstí Boženy Němcové /,,,1954,"['Němcová, Božena,']","['stylistika', 'stylistika']",['referáty']
