,title,author,author code,year,figures,description,genre
5659,Role F.X.Šaldy v české kultuře /,"Vašíčková, Hana",,1988,"Šalda, F. X.",osobnosti,studie
5660,Andrzej Jagodzinski mluví s Josefem Škvoreckým /,"Škvorecký, Josef,",jk01130413,1988,"Škvorecký, Josef,",osobnosti,rozhovory
5661,Josef Zvěřina pětasedmdesátníkem /,"Skalický, Karel,",jn19990009982,1988,"Zvěřina, Josef,",osobnosti,medailony
5662,Hrad v nitru : K českému překladu díla svaté Terezy Avilské /,"Mácha, Karel,",jk01072913,1988,"Koláček, Josef,;Teresa de Jesús,",španělská literatura;překlady ze španělštiny;překlady do češtiny,recenze
5663,Experiment Evropa /,"Vrána, Karel,",jn19981002366,1988,,literatura,studie
5664,Setkání ve Frankenu : Československo 89 - dialog nebo konfrontace /,"Skalický, Karel,",jn19990009982,1989,,literární druhy,referáty
5665,Poznámky k programu a činnosti Křesťanské akademie /,"Neuwirth, Vladimír,",jn19990201040,1989,,literatura pro děti,referáty
5666,Nový typ historické prózy : Z Katalogu čtenářských záznamů /,"Kotrlá, Iva,",jn19990209396,1989,"Foustka, Ivan,",osobnosti,glosy
5667,Neúplatně čestný básník z Moravy : K šedesátinám Otce Josefa Koláčka /,"Kotrlá, Iva,",jn19990209396,1989,"Koláček, Josef,",osobnosti,studie
5668,Křesadlovy básně /,"Chvalšín, Jan",,1989,"Křesadlo, Jan,",osobnosti,recenze
5669,Za Ludvíkem Němcem (1913-1988) /,"Polc, Jaroslav",,1989,"Němec, Ludvík,",osobnosti,nekrology
5670,Vybrané spisy Jana Patočky /,"Němec, Jiří,",jk01083071,1989,"Patočka, Jan,",maďarská literatura;osobnosti,referáty
5671,Muž v pozadí : K šedesátinám našeho historika Jaroslava V.Polce /,"Steiner, Václav,",jn19990209797,1989,"Polc, Jaroslav V.",osobnosti,medailony
5672,Udělení Ceny Jaroslava Seiferta : Letošní Seifertova cena udělena Karlu Šiktancovi,,,1989,"Šiktanc, Karel,",literární druhy;osobnosti,zprávy
5673,Opožděný nekrolog : Vladimír Vokolek /,"Vladislav, Jan,",jk01150006,1989,"Vokolek, Vladimír,",osobnosti,paměti
5674,Frankfurt a Německo - Praha a Čechy : Přednáška /,"Hubert, Karel",,1989,"Goethe, Johann Wolfgang von,;Zeyer, Julius,;Rilke, Rainer Maria,",maďarská literatura,studie
5675,Andrzej Jagodzinski a český exil /,"Měšťan, Antonín,",jk01081347,1989,"Jagodziński, Andrzej Sławomir,;Pawlak, Antoni,",česká literatura;německá literatura,recenze
5676,Smysl návratu domů /,"Černý, Václav,",jk01021636,1956,"Bureš, Miloslav,",česká literatura;literatura,eseje
5677,Člověk bez hodnot /,"Kahler, Erich",,1957,,literatura,eseje
5678,Východ a Západ /,"Słonimski, Antoni,",ola2003198052,1957,,literární druhy;literatura,úvahy
5679,Vrátit důstojnost dílu... /,"Tigrid, Pavel,",jk01132374,1957,,literární druhy;česká literatura;literatura,úvahy
5680,Literatura a společnost /,"Wellek, René,",jk01151561,1956,"Warren, Austin,",literární teorie,eseje
